ISBN,Author,Title,Cover,URL,Tags
014312451X,Sonja Lyubomirsky,"The myths of happiness what should make you happy but doesn't, what shouldn't make you happy but does",,https://m.media-amazon.com/images/I/51ujigp3+VL._SL1200_.jpg,Happiness Emotions  PSYCHOLOGY Physiological Psychology  Happiness fast 
0307269876,Scott Stossel,"My age of anxiety :fear, hope, dread, and the search for peace of mind ",,https://covers.openlibrary.org/b/isbn/0307269876-L.jpg,Anxiety Anxiety Chemotherapy Anxiety disorders Epidemiology Tranquilizing drugs Social aspects Anxiety Chemotherapy Anxiety Epidemiology Anxiety disorders Social aspects Tranquilizing drugs Mental Disorders Psychotropic Drugs Central Nervous System Depressants Physiological Effects of Drugs Central Nervous System Agents Psychiatry and Psychology Therapeutic Uses Pharmacologic Actions Chemical Actions and Uses Chemicals and Drugs Anxiety Disorders Tranquilizing Agents Psychiatry HILCC Health Biological Sciences HILCC Psychiatric Disorders Individual HILCC
9780156628709,Virginia Woolf,Mrs. Dalloway,,https://covers.openlibrary.org/b/isbn/9780156628709-L.jpg,Married women England Fiction Femmes marie
0807758507,"Anne H. Charity Hudley, Cheryl L. Dickter, Hannah A. Franz",The Indispensable Guide to Undergraduate Research: Success in and Beyond College,,"https://m.media-amazon.com/images/I/813C4nDyWQL._AC_UF1000,1000_QL80_DpWeblab_.jpg",College teaching College teachers
1615993231,Diana Raab,Writing for Bliss: A Seven-Step Plan for Telling Your Story and Transforming Your Life,,https://covers.openlibrary.org/b/isbn/1615993231-L.jpg,Autobiography Authorship Biography as a literary form Autobiography Authorship fast  Biography as a literary form fast 
1577319729,Joanna Macy,Active Hope: How to Face the Mess We're in without Going Crazy,,https://covers.openlibrary.org/b/isbn/1577319729-L.jpg,Social change Environmental aspects Social change Psychological aspects Social change Religious aspects Environmental psychology
1507204191,Adams Media,"The Quick and Easy Vegetarian College Cookbook: 300 Healthy, Low-Cost Meals That Fit Your Budget and Schedule",,https://covers.openlibrary.org/b/isbn/1507204191-L.jpg,Vegetarian cooking Cuisine 
1138570923,Paul Penn,The Psychology of Effective Studying: How to Succeed in Your Degree,,https://m.media-amazon.com/images/I/51itHO3O+6L.jpg,Learning Psychology of Study skills
9781440839788,David E. Newton,Prescription Drug Abuse: A Reference Handbook,,https://covers.openlibrary.org/b/isbn/9781440839788-L.jpg,Drug abuse Substance abuse
0335241956,Kate Hefferon,"Positive Psychology: Theory, Research And Applications",,https://covers.openlibrary.org/b/isbn/0335241956-L.jpg,Positive psychology Psychology
